date,weekday,month,year,steps,distance_km,calorias,music_minutes,music_unique_artists,music_main_context,podcast_minutes,podcast_main_topic,netflix_minutes,netflix_interactions,netflix_content_topic,ml_purchases,ml_main_category
2025-01-01,Wednesday,1,2025,24,0.0,1,0,0,sin_musica,0,sin_podcast,664,22,drama_emocional,0,sin_compras
2025-01-02,Thursday,1,2025,6616,4.4,173,0,0,sin_musica,0,sin_podcast,88,2,drama_emocional,0,sin_compras
2025-01-03,Friday,1,2025,7598,5.4,158,0,0,sin_musica,0,sin_podcast,115,5,drama_emocional,0,sin_compras
2025-01-04,Saturday,1,2025,7428,5.2,172,0,0,sin_musica,0,sin_podcast,531,19,crimen_thriller,0,sin_compras
2025-01-05,Sunday,1,2025,238,0.2,3,0,0,sin_musica,0,sin_podcast,345,18,crimen_thriller,0,sin_compras
2025-01-06,Monday,1,2025,5663,3.7,129,0,0,sin_musica,0,sin_podcast,6,2,drama_emocional,0,sin_compras
2025-01-07,Tuesday,1,2025,7169,4.6,161,0,0,sin_musica,0,sin_podcast,81,4,otros,0,sin_compras
2025-01-08,Wednesday,1,2025,5732,3.9,192,0,0,sin_musica,0,sin_podcast,88,5,otros,0,sin_compras
2025-01-09,Thursday,1,2025,5757,3.8,143,0,0,sin_musica,0,sin_podcast,43,2,otros,0,sin_compras
2025-01-10,Friday,1,2025,8570,5.8,183,0,0,sin_musica,0,sin_podcast,195,7,crimen_thriller,0,sin_compras
2025-01-11,Saturday,1,2025,4357,3.1,107,0,0,sin_musica,0,sin_podcast,488,14,crimen_thriller,0,sin_compras
2025-01-12,Sunday,1,2025,4407,3.2,106,0,0,sin_musica,0,sin_podcast,441,12,crimen_thriller,0,sin_compras
2025-01-13,Monday,1,2025,5670,3.9,119,0,0,sin_musica,0,sin_podcast,47,4,crimen_thriller,0,sin_compras
2025-01-14,Tuesday,1,2025,7012,4.6,200,0,0,sin_musica,0,sin_podcast,140,4,crimen_thriller,0,sin_compras
2025-01-15,Wednesday,1,2025,7966,5.6,176,0,0,sin_musica,0,sin_podcast,502,13,crimen_thriller,0,sin_compras
2025-01-16,Thursday,1,2025,7548,4.5,159,0,0,sin_musica,0,sin_podcast,179,5,crimen_thriller,0,sin_compras
2025-01-17,Friday,1,2025,5881,3.8,112,0,0,sin_musica,0,sin_podcast,330,9,crimen_thriller,0,sin_compras
2025-01-18,Saturday,1,2025,5183,3.4,112,0,0,sin_musica,0,sin_podcast,555,18,crimen_thriller,0,sin_compras
2025-01-19,Sunday,1,2025,3658,2.4,75,0,0,sin_musica,0,sin_podcast,435,17,comedia,0,sin_compras
2025-01-20,Monday,1,2025,5612,3.4,118,0,0,sin_musica,0,sin_podcast,0,1,solo_trailers,0,sin_compras
2025-01-21,Tuesday,1,2025,9024,5.5,196,0,0,sin_musica,0,sin_podcast,127,19,drama_emocional,0,sin_compras
2025-01-22,Wednesday,1,2025,3703,2.5,79,0,0,sin_musica,0,sin_podcast,255,6,crimen_thriller,0,sin_compras
2025-01-23,Thursday,1,2025,7611,5.0,211,0,0,sin_musica,0,sin_podcast,178,4,crimen_thriller,0,sin_compras
2025-01-24,Friday,1,2025,8792,6.0,188,0,0,sin_musica,0,sin_podcast,204,7,crimen_thriller,0,sin_compras
2025-01-25,Saturday,1,2025,8043,5.5,173,0,0,sin_musica,0,sin_podcast,290,14,crimen_thriller,0,sin_compras
2025-01-26,Sunday,1,2025,445,0.3,10,0,0,sin_musica,0,sin_podcast,177,10,comedia,0,sin_compras
2025-01-27,Monday,1,2025,5312,3.4,138,0,0,sin_musica,0,sin_podcast,17,1,salud,0,sin_compras
2025-01-28,Tuesday,1,2025,6330,4.1,155,0,0,sin_musica,0,sin_podcast,154,6,salud,0,sin_compras
2025-01-29,Wednesday,1,2025,6948,4.9,164,0,0,sin_musica,0,sin_podcast,410,16,cultural_historico,0,sin_compras
2025-01-30,Thursday,1,2025,9479,5.7,236,0,0,sin_musica,0,sin_podcast,146,6,cultural_historico,0,sin_compras
2025-01-31,Friday,1,2025,9175,6.4,208,0,0,sin_musica,0,sin_podcast,116,5,cultural_historico,0,sin_compras
2025-02-01,Saturday,2,2025,8068,5.6,189,0,0,sin_musica,0,sin_podcast,124,9,cultural_historico,0,sin_compras
2025-02-02,Sunday,2,2025,3128,2.3,81,0,0,sin_musica,0,sin_podcast,206,13,comedia,0,sin_compras
2025-02-03,Monday,2,2025,5384,3.6,129,0,0,sin_musica,0,sin_podcast,22,1,comedia,0,sin_compras
2025-02-04,Tuesday,2,2025,6543,4.2,160,0,0,sin_musica,0,sin_podcast,142,6,comedia,0,sin_compras
2025-02-05,Wednesday,2,2025,2621,1.9,85,0,0,sin_musica,0,sin_podcast,84,8,comedia,0,sin_compras
2025-02-06,Thursday,2,2025,8191,5.3,209,0,0,sin_musica,0,sin_podcast,53,4,comedia,0,sin_compras
2025-02-07,Friday,2,2025,4390,3.0,93,0,0,sin_musica,0,sin_podcast,212,7,comedia,0,sin_compras
2025-02-08,Saturday,2,2025,5378,3.7,121,0,0,sin_musica,0,sin_podcast,107,4,crimen_thriller,0,sin_compras
2025-02-09,Sunday,2,2025,3030,2.0,73,0,0,sin_musica,0,sin_podcast,185,10,comedia,0,sin_compras
2025-02-10,Monday,2,2025,7713,5.2,179,0,0,sin_musica,0,sin_podcast,20,1,comedia,0,sin_compras
2025-02-11,Tuesday,2,2025,6625,4.4,213,0,0,sin_musica,0,sin_podcast,0,0,sin_netflix,0,sin_compras
2025-02-12,Wednesday,2,2025,7050,4.9,198,0,0,sin_musica,0,sin_podcast,33,3,crimen_thriller,0,sin_compras
2025-02-13,Thursday,2,2025,6120,4.0,153,0,0,sin_musica,0,sin_podcast,159,4,crimen_thriller,0,sin_compras
2025-02-14,Friday,2,2025,9932,6.9,214,0,0,sin_musica,0,sin_podcast,64,6,crimen_thriller,0,sin_compras
2025-02-15,Saturday,2,2025,4410,3.1,92,0,0,sin_musica,0,sin_podcast,282,14,drama_emocional,0,sin_compras
2025-02-16,Sunday,2,2025,156,0.1,2,0,0,sin_musica,0,sin_podcast,262,10,drama_emocional,0,sin_compras
2025-02-17,Monday,2,2025,2477,1.6,58,0,0,sin_musica,0,sin_podcast,77,5,cultural_historico,0,sin_compras
2025-02-18,Tuesday,2,2025,5557,3.8,128,0,0,sin_musica,0,sin_podcast,107,3,crimen_thriller,0,sin_compras
2025-02-19,Wednesday,2,2025,5174,3.6,148,0,0,sin_musica,0,sin_podcast,14,7,crimen_thriller,0,sin_compras
2025-02-20,Thursday,2,2025,6232,4.1,154,0,0,sin_musica,0,sin_podcast,158,3,ciencia_ficcion,0,sin_compras
2025-02-21,Friday,2,2025,5311,3.7,110,0,0,sin_musica,0,sin_podcast,33,1,ciencia_ficcion,0,sin_compras
