year,month_num,month_label,distance_km,netflix_minutes,music_minutes,podcast_minutes,distance_norm_max,netflix_norm_max,music_norm_max,podcast_norm_max
2025,1,January,4.01,237,0,0,0.83,1,0,0
2025,2,February,3.68,101,0,0,0.76,0.43,0,0
2025,3,March,3.92,126,52,1,0.81,0.53,0.84,0.1
2025,4,April,4.85,70,62,5,1,0.29,1,0.42
2025,5,May,3,64,44,13,0.62,0.27,0.71,1
2025,6,June,3.28,94,39,3,0.68,0.4,0.63,0.21
2025,7,July,3.56,135,49,3,0.73,0.57,0.79,0.22
2025,8,August,3.48,180,39,4,0.72,0.76,0.63,0.31
2025,9,September,3.95,90,13,5,0.82,0.38,0.2,0.37
2025,10,October,3.79,26,26,0,0.78,0.11,0.42,0
2025,11,November,3.76,152,21,0,0.78,0.64,0.33,0.01
2025,12,December,3.39,182,30,2,0.7,0.77,0.48,0.18
