year,month_num,month_label,weekday,netflix_minutes,ml_purchases_total,music_minutes
2025,1,January,Monday,18,0,0
2025,1,January,Tuesday,126,0,0
2025,1,January,Wednesday,384,0,0
2025,1,January,Thursday,127,0,0
2025,1,January,Friday,192,0,0
2025,1,January,Saturday,466,0,0
2025,1,January,Sunday,350,0,0
2025,2,February,Monday,30,0,0
2025,2,February,Tuesday,62,0,0
2025,2,February,Wednesday,63,0,0
2025,2,February,Thursday,92,0,0
2025,2,February,Friday,87,0,0
2025,2,February,Saturday,128,0,0
2025,2,February,Sunday,246,0,0
2025,3,March,Monday,59,0,92
2025,3,March,Tuesday,50,0,58
2025,3,March,Wednesday,65,0,27
2025,3,March,Thursday,27,1,28
2025,3,March,Friday,168,0,30
2025,3,March,Saturday,236,0,73
2025,3,March,Sunday,241,0,44
2025,4,April,Monday,26,0,67
2025,4,April,Tuesday,97,0,25
2025,4,April,Wednesday,74,0,46
2025,4,April,Thursday,88,0,64
2025,4,April,Friday,83,1,50
2025,4,April,Saturday,21,0,88
2025,4,April,Sunday,90,0,109
2025,5,May,Monday,18,0,32
2025,5,May,Tuesday,40,0,35
2025,5,May,Wednesday,60,0,31
2025,5,May,Thursday,87,0,12
2025,5,May,Friday,23,0,13
2025,5,May,Saturday,147,0,57
2025,5,May,Sunday,53,0,144
2025,6,June,Monday,45,1,27
2025,6,June,Tuesday,24,0,46
2025,6,June,Wednesday,94,1,7
2025,6,June,Thursday,18,0,50
2025,6,June,Friday,61,0,38
2025,6,June,Saturday,106,0,19
2025,6,June,Sunday,275,0,82
2025,7,July,Monday,58,0,11
2025,7,July,Tuesday,97,0,37
2025,7,July,Wednesday,109,0,87
2025,7,July,Thursday,65,0,51
2025,7,July,Friday,101,0,67
2025,7,July,Saturday,255,0,16
2025,7,July,Sunday,296,0,70
2025,8,August,Monday,110,0,22
2025,8,August,Tuesday,204,0,15
2025,8,August,Wednesday,172,0,14
2025,8,August,Thursday,92,0,90
2025,8,August,Friday,150,0,60
2025,8,August,Saturday,247,0,58
2025,8,August,Sunday,256,3,12
2025,9,September,Monday,48,0,2
2025,9,September,Tuesday,62,1,7
2025,9,September,Wednesday,63,0,4
2025,9,September,Thursday,91,1,59
2025,9,September,Friday,40,1,1
2025,9,September,Saturday,75,2,19
2025,9,September,Sunday,273,0,0
2025,10,October,Monday,9,0,18
2025,10,October,Tuesday,28,3,22
2025,10,October,Wednesday,21,1,14
2025,10,October,Thursday,8,2,8
2025,10,October,Friday,56,0,77
2025,10,October,Saturday,19,0,41
2025,10,October,Sunday,39,0,0
2025,11,November,Monday,186,2,32
2025,11,November,Tuesday,107,0,9
2025,11,November,Wednesday,64,0,8
2025,11,November,Thursday,116,1,2
2025,11,November,Friday,167,0,22
2025,11,November,Saturday,110,0,35
2025,11,November,Sunday,291,1,31
2025,12,December,Monday,84,0,4
2025,12,December,Tuesday,128,3,66
2025,12,December,Wednesday,208,2,47
2025,12,December,Thursday,195,0,25
2025,12,December,Friday,276,0,28
2025,12,December,Saturday,277,0,24
2025,12,December,Sunday,138,0,9
